Country,Year,Sex,Population at all ages,Population at age 0 year,Population at age1 year,Population at age 2 years,Population at age 3 years,Population at age 4 years,Population at age 5-9 years,Population at age 10-14 years,Population at age 15-19 years,Population at age 20-24 years,Population at age 25-29 years,Population at age 30-34 years,Population at age 35-39 years,Population at age 40-44 years,Population at age 45-49 years,Population at age 50-54 years,Population at age 55-59 years,Population at age 60-64 years,Population at age 65-69 years,Population at age 70-74 years,Population at age 75-79 years,Population at age 80-84 years,Population at age 85-89 years,Population at age 90-94 years,Population at age 95 years and over ,Population at age unspecified,Live births
Brunei Darussalam,2001,Male,168974,3510,14323,256100,261000,263200,17862,16609,14014,15390,17884,16878,14581,12984,9150,5542,3249,2432,1768,1263,793,423,319,,,0,3611
Brunei Darussalam,2001,Female,163870,3252,13196,242700,247000,252700,16749,15411,13949,17214,17889,17497,14183,11214,7999,5145,2891,2530,1989,1178,789,421,374,,,0,3298
Brunei Darussalam,2002,Male,180600,4330,17670,256262,258199,263309,18200,16800,14200,16200,19400,18400,15800,14000,9700,5800,3300,2400,1700,1300,700,400,300,,,0,3382
Brunei Darussalam,2002,Female,163600,3780,15320,242707,245127,249415,16600,15300,13900,16800,17400,16900,13800,11000,7900,5100,2900,2500,1800,1200,700,400,300,,,0,3055
Brunei Darussalam,2003,Male,182500,4840,19760,255774,257801,260342,18200,16800,14300,16200,19300,18200,15700,13900,9700,5800,3300,2500,1700,1100,700,300,200,,,0,3376
Brunei Darussalam,2003,Female,167100,4390,17810,242701,244499,247546,16600,15300,13900,16900,17500,17000,13800,11000,8000,5100,2900,2500,1900,1200,700,300,300,,,0,3075
Brunei Darussalam,2004,Male,189400,3660,14940,259473,256053,258108,18400,18100,16300,17900,20400,19000,16300,14800,10600,7100,3900,2800,2100,1500,800,500,300,,,0,3239
Brunei Darussalam,2004,Female,170300,3220,13080,245019,242742,244505,16000,15600,14700,18300,18800,17800,14800,11500,8800,6100,3700,2700,2100,1500,800,400,400,,,0,2960
Brunei Darussalam,2005,Male,195300,3640,14860,255259,259465,255983,18600,18500,16900,18500,21300,19500,16800,15300,11100,7500,4300,2900,2200,1500,1000,500,400,,,0,259783
Brunei Darussalam,2005,Female,174800,3200,13000,241088,244807,242581,16000,15800,15100,19100,19500,18300,15200,11700,9200,6500,4100,2700,2100,1500,900,500,400,,,0,242861
Brunei Darussalam,2006,Male,203300,3680,15020,260112,256139,260169,18900,19100,17400,19500,22500,20400,17600,15700,11700,8100,4800,2900,2300,1600,1100,600,400,,,0,253718
Brunei Darussalam,2006,Female,179700,3240,13160,243795,241477,245278,16000,16200,15500,19700,20300,18600,15700,11700,9600,7000,4500,2600,2300,1700,900,600,400,,,0,237521
Brunei Darussalam,2010,Male,219100,3760,15340,271644,260733,256848,19200,19200,18900,22300,24500,22100,18400,16400,12600,9300,6400,3800,2500,1900,1300,600,600,,,0,264427
Brunei Darussalam,2010,Female,195300,3220,13080,252878,244220,242073,16500,16200,16500,21700,22500,20000,16300,12900,10300,8500,6100,4000,2700,2000,1400,700,700,,,0,247167
Brunei Darussalam,2011,Male,223300,3394,15406,218200,277000,318800,19100,19300,19200,21700,24200,22800,19200,16900,13200,10100,7100,4300,2500,2000,1300,800,800,,,0,272193
Brunei Darussalam,2011,Female,199400,2879,13421,208200,262500,308300,16700,16200,16800,20800,22400,20900,17000,13900,10600,9000,6700,4500,2600,2200,1500,700,600,,,0,253819
Brunei Darussalam,2012,Male,206700,3000,13100,263900,210700,269300,16900,18400,17900,19500,20800,19800,17600,15900,13300,10900,7700,4700,2700,2100,1200,700,500,,,0,260725
